Title,AgentCompanyName,BC Agent Name,BC Vendor Code,Other Remarks
11421,OH! STUDY EDUCATION CENTRE - Taipei,OH! Study Education Consulting Center,108001812,
11435,TNS Uhak,TNS Uhak Worldwide,108001970,
11959,Unistart,Unistart,108001644,
12103,SHANGHAI JUSS EDUCATION CONSULTING CO LTD - Shanghai,JussEdu Consulting,A108001856,
12250,Mentor International,International Mentor Group,A108000611,
12291,AMET EDUACTION - Sydney,AMET Education Pty Ltd,108002648,
12324,D AND S EDUCATION CONSULTANCY CO - Taipei,,,N/A
12353,EIC GROUP - Adelaide,EIC Group Ltd,A108000913,
12386,EducNet,EducNet-PAY TO STUDY,108002794,
12427,ITEC,,,N/A
12529,AUSWIN INTERNATIONAL GROUP - Melbourne,Auswin International Group,108002024,
12577,NETWORK EDUCARE - Indonesia,Network Educare,A108001840,
12580,OVERSEASEDUCATION.SG PTE LTD - Singapore,OVERSEASEDUCATION.SG PTE LTD,108002046,
12582,Global Link Consulting Ltd,,,N/A
12600,TNT CONSULTING COMPANY LIMITED - Ho Chi Minh,TNT Consulting Company Limited,A108001811,
12607,AUSTRAL-ORIENTAL EDUCATION SERVICE - Taipei office,,,N/A
12611,TRANS GLOBE - Rajkot,Trans Globe Education,A108003622,
12652,Study Options Ltd,Study Options Limited,108001190,
12655,NULL,,,N/A
12656,GES GLOBAL EDUCATIONAL SERVICES - Malaysia,GES Global Educational Services,108002743,
12678,AMET EDUCATION - Southport,AMET Education Pty Ltd,108002648,
12757,Adwise Education,,,N/A
12761,VNPC - Viet Nam Professional Consultancy Company,,,N/A
12770,AMAXGRACE PTY LTD - Adelaide,Amaxgrace Pty Ltd,108002016,
12775,AIDE EDUCATION AND MIGRATION - Melbourne,,,N/A
12821,"A.E&T Co., Ltd",,,N/A
12825,DAIDANGQUANG OVERSEAS STUDY COMPANY,Daidangquang Overseas Study Company (DOSCO),A108001779,
12836,FAYEALEO LIMITED,FAYEALEO Enterprise Management Consulting,108002039,
12886,AUG - Hong Kong,AusEd-UniEd International Pty Ltd,A108000045,
12891,EIC GROUP - Shenzhen,EIC Group Ltd,A108000913,
12925,AUSTRALIAN CENTRE - Medan,Australian Centre Pty Ltd,108002023,
12934,KO-OZ EDUCATION - Melbourne,ko-ozeducation,108001972,
12940,NULL,,,N/A
13005,SKYREACH EDUCATION ADVISORY LIMITED - Wanchai,,,N/A
13075,ADVANCED ELITE CONSULTANCY - Taipei,Advanced Elite Consultancy,108002084,
